ts,type,side,price_ticks,qty,id
1784862989856714471,add,buy,653126,294,9816
1784862989856714471,add,buy,653224,3642989,9817
1784862990206577118,cancel,buy,653224,0,9817
1784862990206577118,cancel,buy,653126,0,9816
1784862990206577118,add,buy,653126,294,9818
1784862990206577118,add,buy,653210,3643055,9819
1784862990206697605,cancel,buy,653210,0,9819
1784862990206697605,cancel,buy,653126,0,9818
1784862990206697605,add,buy,653126,294,9820
1784862990206697605,add,buy,653224,3642992,9821
1784862990513588907,cancel,buy,653224,0,9821
1784862990513588907,cancel,buy,653126,0,9820
1784862990513588907,add,buy,653126,294,9822
1784862990513588907,add,buy,653210,3643047,9823
1784862990513785787,cancel,buy,653210,0,9823
1784862990513785787,cancel,buy,653126,0,9822
1784862990513785787,add,buy,653126,294,9824
1784862990513785787,add,buy,653224,3642998,9825
1784862990717847278,cancel,sell,653400,0,9809
1784862990717847278,cancel,sell,653432,0,9808
1784862990717847278,add,sell,653432,59000,9826
1784862990718277474,cancel,sell,653298,0,9782
1784862990718277474,cancel,sell,653457,0,9800
1784862990718277474,add,sell,653457,20739,9827
1784862990718277474,cancel,sell,653329,0,9781
1784862990718277474,add,sell,653329,384,9828
1784862990718403861,cancel,buy,653224,0,9825
1784862990718403861,cancel,buy,653126,0,9824
1784862990718403861,add,buy,653126,294,9829
1784862990718403861,add,buy,653210,3643088,9830
1784862990724228451,add,sell,653410,1530,9831
1784862990725721984,add,buy,653142,76541,9832
1784862990731879783,add,buy,653148,30616,9833
1784862991025244735,cancel,buy,653210,0,9830
1784862991025244735,cancel,buy,653134,0,9705
1784862991025244735,add,buy,653134,25471,9834
1784862991025244735,add,buy,653224,3642986,9835
1784862991073900236,cancel,sell,653376,0,9801
1784862991073900236,cancel,sell,653457,0,9827
1784862991073900236,add,sell,653457,20739,9836
1784862991074882497,cancel,sell,653366,0,9669
1784862991074882497,add,sell,653366,765319,9837
1784862991108062523,cancel,sell,653401,0,9755
1784862991108062523,cancel,sell,653458,0,9788
1784862991108062523,add,sell,653458,849,9838
1784862991109000696,add,sell,653389,765242,9839
1784862991579704867,add,sell,653433,765190,9840
1784862991581260919,cancel,sell,653366,0,9837
1784862991581260919,add,sell,653366,51,9841
1784862991586337004,cancel,sell,653389,0,9839
1784862991586337004,cancel,sell,653457,0,9836
1784862991586337004,add,sell,653457,20739,9842
1784862991586460050,add,sell,653359,765277,9843
1784862991588145910,add,sell,653377,765256,9844
1784862992197857611,cancel,buy,653236,0,9741
1784862992197857611,add,buy,653236,70051,9845
1784862992276933125,cancel,buy,653246,0,9764
1784862992276933125,cancel,buy,653134,0,9834
1784862992276933125,add,buy,653134,25471,9846
1784862992277056825,add,sell,653361,82593,9847
1784862992277086106,cancel,sell,653397,0,9805
1784862992277086106,cancel,sell,653432,0,9826
1784862992277086106,add,sell,653432,59000,9848
1784862992280978182,cancel,buy,653249,0,9810
1784862992280978182,add,buy,653249,992276,9849
1784862992281085234,add,buy,653203,489460,9850
1784862992294612960,cancel,sell,653361,0,9847
1784862992294612960,cancel,sell,653433,0,9840
1784862992294612960,add,sell,653433,765190,9851
1784862992294739167,add,sell,653325,82593,9852
1784862992294794546,cancel,buy,653203,0,9850
1784862992294794546,cancel,buy,653134,0,9846
1784862992294794546,add,buy,653134,25471,9853
1784862992294833001,cancel,buy,653207,0,9386
1784862992294833001,cancel,buy,653130,0,9450
1784862992294833001,add,buy,653130,15211,9854
1784862992294864966,cancel,buy,653249,0,9849
1784862992294864966,add,buy,653249,961686,9855
1784862992294890145,cancel,buy,653233,0,9637
1784862992294890145,cancel,buy,653126,0,9829
1784862992294890145,add,buy,653126,294,9856
1784862992294916592,cancel,buy,653205,0,9643
1784862992294916592,cancel,buy,653125,0,9811
1784862992294916592,add,buy,653125,93920,9857
1784862992307270979,cancel,sell,653362,0,9763
1784862992307270979,cancel,sell,653433,0,9851
1784862992307270979,add,sell,653433,765190,9858
1784862992307388174,cancel,buy,653163,0,9802
1784862992307388174,cancel,buy,653124,0,9748
1784862992307388174,add,buy,653124,110000,9859
1784862992307416901,cancel,sell,653359,0,9843
1784862992307416901,cancel,sell,653457,0,9842
1784862992307416901,add,sell,653457,20739,9860
1784862992307438062,cancel,sell,653377,0,9844
1784862992307438062,cancel,sell,653458,0,9838
1784862992307438062,add,sell,653458,849,9861
1784862992307456226,cancel,buy,653249,0,9855
1784862992307456226,add,buy,653249,661686,9862
1784862992307472481,cancel,sell,653329,0,9828
1784862992307472481,add,sell,653329,294,9863
1784862992307472481,add,sell,653324,90,9864
1784862992307492477,add,buy,653163,489460,9865
1784862992307506800,cancel,buy,653249,0,9862
1784862992307506800,add,buy,653249,361686,9866
1784862992307520517,cancel,buy,653126,0,9856
1784862992307520517,add,buy,653126,1714092,9867
1784862992307535823,cancel,sell,653433,0,9858
1784862992307535823,cancel,sell,653458,0,9861
1784862992307535823,add,sell,653458,849,9868
1784862992321060740,cancel,buy,653243,0,9563
1784862992321060740,cancel,buy,653124,0,9859
1784862992321060740,add,buy,653124,110000,9869
1784862992321172287,cancel,buy,653224,0,9835
1784862992321172287,add,buy,653119,30622,9870
1784862992321172287,add,buy,653210,3643041,9871
1784862992321207449,cancel,buy,653171,0,8364
1784862992321207449,add,buy,653171,30642,9872
1784862992321229535,add,sell,653314,765330,9873
1784862992321247231,add,sell,653404,765224,9874
1784862992321261811,add,buy,653224,765434,9875
1784862992338309000,add,buy,653201,765460,9876
1784862992338420983,cancel,buy,653171,0,9872
1784862992338420983,add,buy,653171,796137,9877
1784862992338448685,add,sell,653322,591510,9878
1784862992338469903,cancel,sell,653314,0,9873
1784862992338469903,cancel,sell,653432,0,9848
1784862992338469903,add,sell,653432,59000,9879
1784862992338493918,cancel,sell,653404,0,9874
1784862992338493918,cancel,sell,653457,0,9860
1784862992338493918,add,sell,653457,20739,9880
1784862992338512310,cancel,buy,653249,0,9866
1784862992338512310,add,buy,653249,360155,9881
1784862992338528292,cancel,buy,653193,0,9689
1784862992338528292,cancel,buy,653125,0,9857
1784862992338528292,add,buy,653125,93920,9882
1784862992355340538,add,sell,653316,59000,9883
1784862992355709147,cancel,buy,653249,0,9881
1784862992355709147,add,buy,653249,273110,9884
1784862992355745964,cancel,buy,653210,0,9871
1784862992355745964,cancel,buy,653124,0,9869
1784862992355745964,add,buy,653124,110000,9885
1784862992355745964,cancel,buy,653194,0,9701
1784862992355745964,add,buy,653194,3657140,9886
1784862992355776421,add,buy,653208,87045,9887
1784862992355971732,add,buy,653237,1531,9888
1784862992356011248,cancel,buy,653244,0,9796
1784862992356011248,cancel,buy,653125,0,9882
1784862992356011248,add,buy,653125,93920,9889
1784862992356035656,cancel,buy,653171,0,9877
1784862992356035656,add,buy,653171,765546,9890
1784862992356035656,cancel,buy,653140,0,9717
1784862992356035656,add,buy,653140,38246,9891
1784862992356057240,cancel,sell,653324,0,9864
1784862992356057240,cancel,sell,653457,0,9880
1784862992356057240,add,sell,653457,20739,9892
1784862992356057240,add,sell,653298,90,9893
1784862992363577928,cancel,sell,653322,0,9878
